no_evident_not_clean_room	no_soundproofing_window	No
no_evident_not_clean_room	hair_dryer_not_work	No
no_evident_not_clean_room	kettle_not_work	No
no_evident_not_clean_room	plug_not_fit_socket	No
no_evident_not_clean_room	no_adapter	No
no_evident_not_clean_room	medium_nice_cleaned_bathroom	No
no_evident_not_clean_room	cold_floor	No
no_evident_not_clean_room	cold_room	No
no_evident_not_clean_room	uncomfortable_pillow	No
no_evident_not_clean_room	telly_not_work	No
no_evident_not_clean_room	not_replenished_complimentary_after_first_night	No
no_evident_not_clean_room	hair_on_floor	Yes
no_evident_not_clean_room	need_better_cleaner	Yes
no_evident_not_clean_room	bad_smell_bathroom	Yes
no_evident_not_clean_room	stingy_smell_bathroom	Yes
no_evident_not_clean_room	not_remove_hair_in_bathroom	Yes
no_evident_not_clean_room	smell_from_bathroom	Yes
no_evident_not_clean_room	smell_from_water	Yes
no_evident_not_clean_room	bathroom_smell_like_bad_plumbing	Yes
no_evident_not_clean_room	sewage_ordor_came_from_drain	Yes
no_evident_not_clean_room	toilet_smell_after_night	Yes
no_evident_not_clean_room	bug_under_bathroom_floor_sink	Yes
